tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,7.808,12.322,0.339,5.570
B-tree,2,7.949,10.374,0.342,4.182
B-tree,3,8.000,10.791,0.327,4.236
B-tree,4,8.335,11.228,0.305,5.673
B-tree,5,7.884,11.934,0.325,4.228
B-tree,6,7.551,12.547,0.344,4.723
B-tree,7,8.222,11.132,0.359,4.733
B-tree,8,7.640,11.641,0.314,4.822
B-tree,9,8.040,11.664,0.405,4.332
B-tree,10,7.367,11.862,0.345,4.435
B-tree,11,9.404,10.772,0.839,4.287
B-tree,12,7.895,10.691,0.328,4.262
B-tree,13,7.415,11.069,0.420,4.300
B-tree,14,7.839,10.209,0.336,4.201
B-tree,15,8.159,9.479,0.302,4.278
B-tree,16,8.204,11.757,0.413,4.290
B-tree,17,9.148,11.089,0.375,4.195
B-tree,18,7.459,11.404,0.304,4.514
B-tree,19,9.146,11.093,0.360,4.268
B-tree,20,8.019,10.539,0.318,4.596
B+-tree,1,7.292,11.144,0.327,5.055
B+-tree,2,8.142,9.900,0.299,4.589
B+-tree,3,7.545,10.296,0.314,4.176
B+-tree,4,7.144,9.760,0.298,4.273
B+-tree,5,7.385,10.873,0.318,4.262
B+-tree,6,7.517,11.235,0.316,4.127
B+-tree,7,7.512,9.710,0.350,4.403
B+-tree,8,7.582,10.026,0.465,4.290
B+-tree,9,7.202,11.981,0.341,4.205
B+-tree,10,8.316,9.451,0.339,5.972
B+-tree,11,9.007,10.333,0.302,5.482
B+-tree,12,8.122,12.218,0.324,4.208
B+-tree,13,16.611,10.733,0.498,8.336
B+-tree,14,7.396,14.451,0.335,5.957
B+-tree,15,9.516,19.027,0.340,4.087
B+-tree,16,13.935,16.047,0.770,5.229
B+-tree,17,8.867,12.545,0.343,4.216
B+-tree,18,8.938,10.261,0.387,5.779
B+-tree,19,7.892,13.921,0.361,5.736
B+-tree,20,7.253,10.918,0.355,4.072
B*-tree,1,11.062,10.490,0.290,5.370
B*-tree,2,12.064,10.431,0.290,5.393
B*-tree,3,11.403,13.375,0.310,4.580
B*-tree,4,16.471,11.729,0.328,5.203
B*-tree,5,14.135,16.921,0.389,4.729
B*-tree,6,11.068,14.931,0.372,4.069
B*-tree,7,11.814,12.552,1.034,4.329
B*-tree,8,13.229,15.111,0.312,4.022
B*-tree,9,13.197,10.856,0.617,4.713
B*-tree,10,12.506,13.193,0.359,4.406
B*-tree,11,12.881,11.548,0.344,4.013
B*-tree,12,11.835,11.953,0.761,5.477
B*-tree,13,12.032,10.498,0.307,3.913
B*-tree,14,11.533,12.961,0.693,4.326
B*-tree,15,11.221,11.918,0.354,5.091
B*-tree,16,11.433,13.258,0.349,3.994
B*-tree,17,11.883,10.452,0.326,5.986
B*-tree,18,12.488,13.572,0.318,4.149
B*-tree,19,11.883,11.176,0.301,3.996
B*-tree,20,11.963,12.783,0.346,4.249
