tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,34.952,21.200,0.654,75.742
B-tree,2,41.060,45.466,0.730,132.914
B-tree,3,43.719,29.218,0.595,59.177
B-tree,4,32.866,21.757,0.554,61.340
B-tree,5,35.401,23.224,0.651,64.117
B-tree,6,35.115,22.974,0.559,55.835
B-tree,7,34.717,21.032,0.637,53.173
B-tree,8,32.547,20.566,0.541,68.214
B-tree,9,33.174,19.063,0.555,52.538
B-tree,10,32.520,19.237,0.525,51.767
B+-tree,1,49.948,45.283,0.580,69.532
B+-tree,2,45.214,27.977,0.470,65.319
B+-tree,3,36.416,25.105,0.475,49.486
B+-tree,4,34.758,23.240,0.438,48.491
B+-tree,5,35.049,22.837,0.422,50.829
B+-tree,6,36.505,27.140,0.512,55.304
B+-tree,7,35.950,25.252,0.430,54.256
B+-tree,8,36.681,24.637,0.453,55.413
B+-tree,9,38.227,23.364,0.420,50.115
B+-tree,10,34.403,25.981,0.466,48.887
B*-tree,1,163.013,32.050,1.925,51.281
B*-tree,2,188.488,40.514,2.137,62.408
B*-tree,3,136.062,35.894,1.564,49.623
B*-tree,4,164.631,38.964,3.437,52.437
B*-tree,5,160.841,39.881,1.767,51.780
B*-tree,6,163.765,39.170,2.812,54.737
B*-tree,7,148.556,40.061,2.569,76.509
B*-tree,8,156.750,37.005,1.749,52.036
B*-tree,9,163.394,38.919,1.955,54.173
B*-tree,10,150.783,42.236,1.685,52.999
